term,gene
AbSC_Pos,Ly6a
AbSC_Pos,S100a6
AbSC_Pos,Wfdc18
AbSC_Pos,Clu
AbSC_Pos,Ifitm3
AbSC_Pos,Ifitm1
AbSC_Pos,Ly6d
AbSC_Pos,Lcn2
AbSC_Pos,Ly6e
AbSC_Pos,S100a11
AbSC_Pos,Ier3
AbSC_Pos,Tmsb10
AbSC_Pos,Cyba
AbSC_Pos,Marcksl1
AbSC_Pos,Mmp7
AbSC_Pos,Isg15
AbSC_Pos,Igfbp4
AbSC_Pos,Cldn4
AbSC_Pos,Fxyd3
AbSC_Pos,Cd9
AbSC_Pos,Ecscr
AbSC_Pos,Aspscr1
AbSC_Pos,Phlda1
AbSC_Pos,Bst2
AbSC_Pos,Nkd1
AbSC_Pos,H2-Q7
AbSC_Pos,Bex1
AbSC_Pos,Stat1
AbSC_Pos,Mif
AbSC_Pos,Tubb5
AbSC_Pos,Krt7
AbSC_Pos,Pglyrp1
AbSC_Pos,Cebpd
AbSC_Pos,Ifitm2
AbSC_Pos,H2-Eb1
AbSC_Pos,Sox4
AbSC_Pos,Rbm3
AbSC_Pos,2210407C18Rik
AbSC_Pos,S100a14
AbSC_Pos,Cd74
AbSC_Pos,Ctsl
AbSC_Pos,Scd2
AbSC_Pos,Psmb8
AbSC_Pos,Hmgn1
AbSC_Pos,H2-D1
AbSC_Pos,Msx1
AbSC_Pos,Blvrb
AbSC_Pos,Nfkbia
AbSC_Pos,Myl12a
AbSC_Pos,Tceal9
AbSC_Pos,Pla2g12a
AbSC_Pos,Tnfrsf12a
AbSC_Pos,Nap1l1
AbSC_Pos,Krt18
AbSC_Pos,Prmt1
AbSC_Pos,Chmp4b
AbSC_Pos,Tmsb4x
AbSC_Pos,Ets2
AbSC_Pos,Krt23
AbSC_Pos,Ncl
AbSC_Pos,Sprr2a3
AbSC_Pos,H2-Ab1
AbSC_Pos,Ccnd1
AbSC_Pos,Prox1
AbSC_Pos,Rtp4
AbSC_Pos,Iigp1
AbSC_Pos,H2-Q4
AbSC_Pos,Gstm5
AbSC_Pos,Ceacam10
AbSC_Pos,Bok
AbSC_Pos,Dynll1
AbSC_Pos,S100a16
AbSC_Pos,Zbp1
AbSC_Pos,Lgals3
AbSC_Pos,H2-K1
AbSC_Pos,Hsp90ab1
AbSC_Pos,Axin2
AbSC_Pos,Igtp
AbSC_Pos,Tspo
AbSC_Pos,Skp1a
AbSC_Pos,Actg1
AbSC_Pos,Eif3c
AbSC_Pos,Hes6
AbSC_Pos,Emp2
AbSC_Pos,Anxa2
AbSC_Pos,Selenoh
AbSC_Pos,Nhp2
AbSC_Pos,Xaf1
AbSC_Pos,App
AbSC_Pos,Hnrnpa1
AbSC_Pos,Eif2s2
AbSC_Pos,Cxadr
AbSC_Pos,Duoxa2
AbSC_Pos,Metap2
AbSC_Pos,Slc25a4
AbSC_Pos,Stmn1
AbSC_Pos,Aldoa
AbSC_Pos,Pebp1
AbSC_Pos,Irf7
AbSC_Pos,Sdc1
AbSC_Pos,Prdx2
AbSC_Pos,Cfl1
AbSC_Pos,Mt2
AbSC_Pos,Rnf213
AbSC_Pos,Psme1
AbSC_Pos,Pdlim7
AbSC_Pos,Clic1
AbSC_Pos,Cela1
AbSC_Pos,Ctxn1
AbSC_Pos,Npm1
AbSC_Pos,Hnrnpab
AbSC_Pos,Id3
AbSC_Pos,Ifi47
AbSC_Pos,Sypl
AbSC_Pos,Atp6v1g1
AbSC_Pos,Pmepa1
AbSC_Pos,Vars
AbSC_Pos,B2m
AbSC_Pos,Eif4a1
AbSC_Pos,Cd44
AbSC_Pos,Nop56
AbSC_Pos,Lamp2
AbSC_Pos,Smarca4
AbSC_Pos,Oas1a
AbSC_Pos,Hebp2
AbSC_Pos,Anp32a
AbSC_Pos,Taf1d
AbSC_Pos,Hmgn2
AbSC_Pos,H2-DMb1
AbSC_Pos,Psma3
AbSC_Pos,Cstb
AbSC_Pos,Fus
AbSC_Pos,Eif5b
AbSC_Pos,Ube2i
AbSC_Pos,Xrn2
AbSC_Pos,Rpsa
AbSC_Pos,Cirbp
AbSC_Pos,Snhg12
AbSC_Pos,Ktn1
AbSC_Pos,Ccdc34
AbSC_Pos,Rtn4
AbSC_Pos,Cd47
AbSC_Pos,Fermt1
AbSC_Pos,Snhg6
AbSC_Pos,Trmt112
AbSC_Pos,Gapdh
AbSC_Pos,Avpi1
AbSC_Pos,Dsg2
AbSC_Pos,Tgif1
AbSC_Pos,Rps15
AbSC_Pos,Shisa5
AbSC_Pos,Glul
AbSC_Pos,Tes
AbSC_Pos,Bex3
AbSC_Pos,Rpl36
AbSC_Pos,Psmd7
AbSC_Pos,Set
AbSC_Pos,Llph
AbSC_Pos,Atp6v1f
AbSC_Pos,Ddit4
AbSC_Pos,Arpc1b
AbSC_Pos,Ddx24
AbSC_Pos,Gpx2
AbSC_Pos,Actn1
AbSC_Pos,Hnrnpa3
AbSC_Pos,Urah
AbSC_Pos,Ntmt1
AbSC_Pos,Ppp1ca
AbSC_Pos,Ptms
AbSC_Pos,Psma7
AbSC_Pos,Rpl41
AbSC_Pos,Dnajc2
AbSC_Pos,Cdk4
AbSC_Pos,Snrpe
AbSC_Pos,H2afy
AbSC_Pos,Smarcc1
AbSC_Pos,1810022K09Rik
AbSC_Pos,Sox9
AbSC_Pos,Rpl6
AbSC_Pos,Rpl31
AbSC_Pos,Psmd4
AbSC_Pos,Rnh1
AbSC_Pos,Mafg
AbSC_Pos,Csrp1
AbSC_Pos,Knop1
AbSC_Pos,Gnl3
AbSC_Pos,Chd4
AbSC_Pos,Ehf
AbSC_Pos,H2-T22
AbSC_Pos,Nedd4
AbSC_Pos,1110004F10Rik
AbSC_Pos,Bcas2
AbSC_Pos,Mbd3
AbSC_Pos,Cct5
AbSC_Pos,Psmb5
AbSC_Pos,1500011B03Rik
AbSC_Pos,H3f3b
AbSC_Pos,Parp14
AbSC_Pos,Ptma
AbSC_Pos,Irf1
AbSC_Pos,Epb41l4aos
AbSC_Pos,2010111I01Rik
AbSC_Pos,Tubb2b
AbSC_Pos,Cenpm
AbSC_Pos,Polr2f
AbSC_Pos,Rpl11
AbSC_Pos,Tap1
AbSC_Pos,Hnrnpdl
AbSC_Pos,Ube2s
AbSC_Pos,Nenf
AbSC_Pos,Srrm2
AbSC_Pos,Mt1
AbSC_Pos,Rpl38
AbSC_Pos,Eif5a
AbSC_Pos,Cd24a
AbSC_Pos,Snrpb
AbSC_Pos,Lsm7
AbSC_Pos,Gipc1
AbSC_Pos,Kcne3
AbSC_Pos,Arid5b
AbSC_Pos,Tuba1b
AbSC_Pos,Sssca1
AbSC_Pos,Rps23
AbSC_Pos,Tra2a
AbSC_Pos,Fdft1
AbSC_Pos,Id1
AbSC_Pos,H2-Aa
