"","term","gene","human"
"1","AbSC_Pos","Ly6a","LY6A"
"2","AbSC_Pos","S100a6","S100A6"
"3","AbSC_Pos","Wfdc18","WFDC18"
"4","AbSC_Pos","Clu","CLU"
"5","AbSC_Pos","Ifitm3","IFITM3"
"6","AbSC_Pos","Ifitm1","IFITM1"
"7","AbSC_Pos","Ly6d","LY6D"
"8","AbSC_Pos","Lcn2","LCN2"
"9","AbSC_Pos","Ly6e","LY6E"
"10","AbSC_Pos","S100a11","S100A11"
"11","AbSC_Pos","Ier3","IER3"
"12","AbSC_Pos","Tmsb10","TMSB10"
"13","AbSC_Pos","Cyba","CYBA"
"14","AbSC_Pos","Marcksl1","MARCKSL1"
"15","AbSC_Pos","Mmp7","MMP7"
"16","AbSC_Pos","Isg15","ISG15"
"17","AbSC_Pos","Igfbp4","IGFBP4"
"18","AbSC_Pos","Cldn4","CLDN4"
"19","AbSC_Pos","Fxyd3","FXYD3"
"20","AbSC_Pos","Cd9","CD9"
"21","AbSC_Pos","Ecscr","ECSCR"
"22","AbSC_Pos","Aspscr1","ASPSCR1"
"23","AbSC_Pos","Phlda1","PHLDA1"
"24","AbSC_Pos","Bst2","BST2"
"25","AbSC_Pos","Nkd1","NKD1"
"26","AbSC_Pos","H2-Q7","H2-Q7"
"27","AbSC_Pos","Bex1","BEX1"
"28","AbSC_Pos","Stat1","STAT1"
"29","AbSC_Pos","Mif","MIF"
"30","AbSC_Pos","Tubb5","TUBB5"
"31","AbSC_Pos","Krt7","KRT7"
"32","AbSC_Pos","Pglyrp1","PGLYRP1"
"33","AbSC_Pos","Cebpd","CEBPD"
"34","AbSC_Pos","Ifitm2","IFITM2"
"35","AbSC_Pos","H2-Eb1","H2-EB1"
"36","AbSC_Pos","Sox4","SOX4"
"37","AbSC_Pos","Rbm3","RBM3"
"38","AbSC_Pos","2210407C18Rik","2210407C18RIK"
"39","AbSC_Pos","S100a14","S100A14"
"40","AbSC_Pos","Cd74","CD74"
"41","AbSC_Pos","Ctsl","CTSL"
"42","AbSC_Pos","Scd2","SCD2"
"43","AbSC_Pos","Psmb8","PSMB8"
"44","AbSC_Pos","Hmgn1","HMGN1"
"45","AbSC_Pos","H2-D1","H2-D1"
"46","AbSC_Pos","Msx1","MSX1"
"47","AbSC_Pos","Blvrb","BLVRB"
"48","AbSC_Pos","Nfkbia","NFKBIA"
"49","AbSC_Pos","Myl12a","MYL12A"
"50","AbSC_Pos","Tceal9","TCEAL9"
"51","AbSC_Pos","Pla2g12a","PLA2G12A"
"52","AbSC_Pos","Tnfrsf12a","TNFRSF12A"
"53","AbSC_Pos","Nap1l1","NAP1L1"
"54","AbSC_Pos","Krt18","KRT18"
"55","AbSC_Pos","Prmt1","PRMT1"
"56","AbSC_Pos","Chmp4b","CHMP4B"
"57","AbSC_Pos","Tmsb4x","TMSB4X"
"58","AbSC_Pos","Ets2","ETS2"
"59","AbSC_Pos","Krt23","KRT23"
"60","AbSC_Pos","Ncl","NCL"
"61","AbSC_Pos","Sprr2a3","SPRR2A3"
"62","AbSC_Pos","H2-Ab1","H2-AB1"
"63","AbSC_Pos","Ccnd1","CCND1"
"64","AbSC_Pos","Prox1","PROX1"
"65","AbSC_Pos","Rtp4","RTP4"
"66","AbSC_Pos","Iigp1","IIGP1"
"67","AbSC_Pos","H2-Q4","H2-Q4"
"68","AbSC_Pos","Gstm5","GSTM5"
"69","AbSC_Pos","Ceacam10","CEACAM10"
"70","AbSC_Pos","Bok","BOK"
"71","AbSC_Pos","Dynll1","DYNLL1"
"72","AbSC_Pos","S100a16","S100A16"
"73","AbSC_Pos","Zbp1","ZBP1"
"74","AbSC_Pos","Lgals3","LGALS3"
"75","AbSC_Pos","H2-K1","H2-K1"
"76","AbSC_Pos","Hsp90ab1","HSP90AB1"
"77","AbSC_Pos","Axin2","AXIN2"
"78","AbSC_Pos","Igtp","IGTP"
"79","AbSC_Pos","Tspo","TSPO"
"80","AbSC_Pos","Skp1a","SKP1A"
"81","AbSC_Pos","Actg1","ACTG1"
"82","AbSC_Pos","Eif3c","EIF3C"
"83","AbSC_Pos","Hes6","HES6"
