term,gene
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",ACAT2
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",ACP1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",ACP2
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",ADA
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",ADD3
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",ADRA2A
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",ADSL
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",AFP
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",AHCYL1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",AKR1B1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",ALG6
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",ANAPC5
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",ANKRD10
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",AOF1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",AP3B1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",APEX1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",APPBP2
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",APRIN
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",AQP1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",AQP4
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",ARF6
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",ARHGAP5
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",ASCL2
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",ASF1B
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",ATBF1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",ATP5J
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",AURKB
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",AXIN2
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",BCAS2
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",BCL7C
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",BCOR
