"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SMOC2",0,1.32906497550414,0.628,0.076,0,"Stem","SMOC2"
"LGR5",0,1.03124046353798,0.509,0.048,0,"Stem","LGR5"
"RGMB",0,0.974146116905783,0.717,0.186,0,"Stem","RGMB"
"CDK6",0,0.857732462021056,0.872,0.42,0,"Stem","CDK6"
"PTPRO",0,0.852235270144525,0.556,0.096,0,"Stem","PTPRO"
"SLC12A2",0,0.848752680343848,0.936,0.506,0,"Stem","SLC12A2"
"EPHB2",0,0.835408918098029,0.857,0.38,0,"Stem","EPHB2"
"SAMD5",0,0.781339320944971,0.679,0.239,0,"Stem","SAMD5"
"CPA6",0,0.724613426933431,0.738,0.341,0,"Stem","CPA6"
"RNF43",0,0.705555782786628,0.853,0.504,0,"Stem","RNF43"
"PTGDR",0,0.701766518377372,0.579,0.168,0,"Stem","PTGDR"
"ZNRF3",0,0.698371334032972,0.696,0.279,0,"Stem","ZNRF3"
"KANK1",0,0.679177436007106,0.92,0.614,0,"Stem","KANK1"
"SLCO3A1",0,0.674728203015338,0.647,0.235,0,"Stem","SLCO3A1"
"IMMP2L",0,0.670534604978216,0.887,0.516,0,"Stem","IMMP2L"
"ETS2",0,0.657832682815452,0.813,0.432,0,"Stem","ETS2"
"EDIL3",0,0.635737348502147,0.756,0.406,0,"Stem","EDIL3"
"DACH1",0,0.626517960230199,0.766,0.344,0,"Stem","DACH1"
"CACNB2",0,0.594355639140173,0.87,0.531,0,"Stem","CACNB2"
"CDCA7",0,0.592358911181657,0.461,0.102,0,"Stem","CDCA7"
"AL033504.1",0,0.587237064909727,0.455,0.149,0,"Stem","AL033504.1"
"CACNA1D",0,0.582050703837329,0.704,0.369,0,"Stem","CACNA1D"
"PGAP1",0,0.580964177940817,0.63,0.293,0,"Stem","PGAP1"
"CFTR",0,0.567063330151165,0.916,0.609,0,"Stem","CFTR"
"PVT1",0,0.560439049501667,0.616,0.248,0,"Stem","PVT1"
"SNTB1",0,0.551301410184101,0.591,0.222,0,"Stem","SNTB1"
"DISC1",0,0.546711362962388,0.583,0.197,0,"Stem","DISC1"
"KCNQ1",0,0.546130510207034,0.63,0.281,0,"Stem","KCNQ1"
"LRIG1",0,0.538067346705104,0.719,0.389,0,"Stem","LRIG1"
"WNK2",0,0.531632965067287,0.882,0.573,0,"Stem","WNK2"
"GPHN",0,0.530108147226267,0.934,0.7,0,"Stem","GPHN"
"CERS6",0,0.521769861892228,0.945,0.738,0,"Stem","CERS6"
"TRABD2A",0,0.519851348676805,0.708,0.385,0,"Stem","TRABD2A"
